student_id,gender,age,parental_education,family_income,internet_access,study_environment,study_hours_per_day,attendance_rate,sleep_hours,social_media_hours,assignment_completion_rate,participation_score,online_courses_completed,tutoring,math_score,reading_score,writing_score,science_score,final_exam_score,previous_gpa,pass_fail
S00020,Male,17,High School,Low,Yes,Noisy,4.13,84.4,9.17,2.3,90.1,59.1,4,Yes,47,66.6,59.7,65.2,61.1,2.31,Pass
S00021,Female,16,High School,Medium,No,Quiet,4.59,84,7.79,3.1,100,60.2,3,No,73.1,72.7,65.1,65.2,70.7,2.78,Pass
S00022,Male,15,High School,Medium,Yes,Noisy,2.01,82.8,6.58,3.6,100,89.6,2,No,49.3,41.9,38.5,37.1,37.9,1.36,Fail
S00023,Female,17,Master,Medium,Yes,Moderate,5.35,90,6.26,2.7,88.7,80,4,Yes,56.6,64.7,57.9,67,57.8,2.09,Pass
S00024,Female,15,High School,Medium,Yes,Moderate,3.7,87.1,6.69,3.5,78.2,59.2,1,Yes,57.7,71,47.1,53.1,57.7,2.36,Pass
S00025,Female,15,Bachelor,Medium,Yes,Quiet,3.52,93.2,5.97,2.5,55.8,64.6,0,No,40.7,48.1,58.6,59.2,50.6,1.83,Pass
S00026,Female,15,High School,Medium,Yes,Moderate,2.38,73.2,5.86,0,94.6,69,1,No,37.6,37.2,50.3,37.2,41.1,1.68,Fail
S00027,Female,17,Master,Low,Yes,Quiet,4.22,100,6.2,2.3,97,82.3,0,No,48.8,65.9,67.6,60.2,60.5,2.59,Pass
S00028,Female,17,Master,Low,Yes,Quiet,1.17,81.1,7.53,0.7,76.1,66.7,2,No,39.4,48.1,29.8,29.5,35.6,1.76,Fail
S00029,Female,15,Bachelor,Low,Yes,Noisy,2.59,87.9,6.48,2.7,85.3,89.7,0,Yes,36.2,62.4,49.6,62.2,53.9,2.4,Pass
S00030,Female,16,Bachelor,Low,Yes,Quiet,2.12,82.9,6.77,2.2,64.6,75.4,4,No,42.1,37.3,54.4,40,39.9,2.22,Fail
S00031,Male,15,High School,Medium,Yes,Moderate,1.43,85.8,7.47,2.2,71,90.4,1,Yes,40.4,27.2,49.7,52.6,42.3,2.04,Fail
S00032,Male,16,PhD,Low,Yes,Noisy,4.04,79.7,7.73,1.2,60.2,52.8,0,No,61.2,74.6,57.1,62.8,61.3,2.64,Pass
S00033,Female,15,Master,Medium,No,Quiet,3.41,87.1,5.07,1.9,84,92.5,2,No,48.7,69.3,61.4,66.7,63.2,2.35,Pass
S00034,Female,18,Master,Medium,Yes,Moderate,3.97,90.8,5.28,3,74,87.5,2,No,48.2,49.7,49.7,47.9,49.9,2.07,Fail
S00035,Female,15,Bachelor,Low,No,Moderate,2.67,61,6.61,1.1,98.7,71.1,0,No,37.9,35.7,42.9,48.4,38.2,1.78,Fail
S00036,Male,15,High School,High,Yes,Moderate,4.18,81.7,5.89,1.6,83.5,62.1,1,No,50.4,47,63.1,59.6,54.2,2.21,Pass
S00037,Female,17,Master,Medium,No,Noisy,3.09,81.3,7.85,0,85.3,89.5,2,No,49.8,53.9,56.6,67.2,54.5,1.76,Pass
S00038,Male,16,High School,Low,Yes,Noisy,2.43,100,6.54,2.9,80.2,63.1,2,No,46.8,44.7,40,39.1,43.9,1.46,Fail
S00039,Male,18,Bachelor,High,Yes,Moderate,2.23,93.6,8.8,0.6,100,69.9,1,Yes,64.1,46.1,61.9,45.1,53.9,1.82,Pass
S00040,Male,16,High School,Low,Yes,Moderate,0.62,100,6.51,2.5,100,77.6,2,No,34.2,30.8,59,52.4,42.9,1.92,Fail
S00041,Male,18,Master,Low,Yes,Moderate,4.4,90.6,7.31,3.6,77.4,53,2,Yes,55.1,45.1,39.6,47.4,45.1,2.08,Fail
S00042,Male,15,High School,Medium,Yes,Moderate,4.26,85.8,6.33,4.4,84.5,67.3,3,No,65.6,64.9,65.3,53,60.1,2.35,Pass
S00043,Female,17,High School,Medium,Yes,Moderate,6.51,88.6,7.49,2,100,56.2,2,No,88,79,72,63.3,75.4,2.96,Pass
S00044,Female,17,Bachelor,Low,Yes,Quiet,2.6,96.2,7.51,3.4,62.4,46.7,2,No,43.9,44.3,34.7,40.7,39.9,1.47,Fail
S00045,Female,16,Master,Low,Yes,Quiet,2.2,100,7.89,2.5,84.5,100,3,No,68.6,75.5,65.9,64.8,66.1,2.42,Pass
S00046,Female,17,Bachelor,High,Yes,Noisy,0.96,88,6.87,0,74.7,60.2,0,No,43.8,32.2,32,36.2,34.9,1.24,Fail
S00047,Female,16,High School,Medium,Yes,Quiet,4.15,78.8,8.27,0.3,100,79.4,0,Yes,58.1,72.2,61.9,55.2,63.2,2.4,Pass
S00048,Male,16,High School,Low,Yes,Moderate,3.88,94.2,7.3,3.8,88,100,1,Yes,48.9,65.5,49.9,65.3,53.5,2.29,Pass
S00049,Female,18,Master,Medium,Yes,Noisy,4.86,76.5,6.36,4.2,53.9,60.5,1,No,55.3,28,45.9,52.7,48,2,Fail
S00050,Female,16,PhD,High,No,Quiet,1.9,88.9,6.36,0,73.8,51.1,4,Yes,51.8,52.9,43.9,33.1,45.7,1.69,Fail
S00051,Male,18,Master,Low,Yes,Moderate,3.86,91.8,7.73,3,100,96.4,3,No,60.9,73.1,60.8,75.5,67.6,2.72,Pass
S00052,Female,17,Bachelor,Medium,No,Quiet,2.37,83.9,8.26,2.9,93.4,56,1,No,39.6,46.4,26.1,28.7,39.3,1.2,Fail
S00053,Male,16,Master,Medium,Yes,Noisy,4.61,76,5.88,1.3,64.4,63.8,0,No,62.5,65.5,70.5,47.4,59.2,2.42,Pass
S00054,Female,16,Bachelor,Medium,No,Quiet,3.64,80.5,7.75,1.3,65.3,61.4,4,No,43.8,45.7,47.2,44.2,45,1.46,Fail
S00055,Male,15,Bachelor,Medium,Yes,Moderate,1.13,81.8,5.51,0.9,81.2,72.3,3,No,42.3,25.6,30.8,26.6,30.6,0.93,Fail
S00056,Female,16,Bachelor,High,Yes,Moderate,2.84,74.5,6.38,0,79.2,42.7,2,No,49.5,55.3,49.3,53.1,49.2,2.67,Fail
S00057,Female,16,Bachelor,Low,Yes,Moderate,0.66,81.1,7.49,0.9,76.1,79.3,3,No,46.3,41.1,34.9,35.3,43.1,1.68,Fail
S00058,Male,15,Master,Low,Yes,Quiet,1.6,70.5,6.15,3.5,74,77,1,No,31.5,26.4,43.2,15.3,32.1,1.61,Fail
S00059,Male,15,Bachelor,High,Yes,Moderate,1.68,90.9,8.47,2,71.2,83,1,No,32.5,47.6,44.3,47,42.6,1.68,Fail
S00060,Male,17,High School,Medium,Yes,Quiet,2.23,88.3,7.61,3.6,100,82.7,4,No,31,47.2,54.8,35.2,44.3,1.76,Fail
S00061,Male,16,High School,Medium,Yes,Quiet,2.68,87.7,5.82,0,74.5,76.8,2,No,69,70.4,61.7,73.4,70.3,2.81,Pass
S00062,Male,17,High School,Medium,Yes,Moderate,3.2,81.1,7.66,3.2,70.1,65.4,3,Yes,40.3,46.8,41.7,43.6,42.1,1.58,Fail
S00063,Male,17,Bachelor,Medium,Yes,Quiet,3.14,82.5,5.68,3.7,87.6,70.9,5,Yes,55.3,45.1,60.1,60.6,55.7,2.6,Pass
S00064,Male,15,High School,Medium,Yes,Moderate,2.97,76.7,7,0,78.5,60.2,1,No,53.5,47.3,42.4,44.4,46.6,1.87,Fail
S00065,Male,18,High School,High,Yes,Noisy,3.4,90.1,7.88,1.7,66.2,72.9,1,No,39,39.3,46.1,61.5,47.8,2.13,Fail
S00066,Female,17,Bachelor,Medium,Yes,Noisy,1.5,71.4,7.71,3,76.2,58.1,2,No,28.5,26.2,27.2,12.8,24.7,0.58,Fail
S00067,Female,18,Bachelor,Low,Yes,Moderate,3.09,85.8,6.91,4.5,79.1,72.1,4,No,47.8,40.3,45.4,39.9,45.4,1.89,Fail
S00068,Male,16,Master,Medium,Yes,Quiet,4.72,78.7,6.66,0.4,86.5,63.4,3,No,84.7,82.8,67.6,86,80.5,3.06,Pass
S00069,Female,15,Bachelor,Medium,Yes,Moderate,2.8,100,5.84,4.6,84.7,57.7,1,No,41.1,30.3,36.2,37.8,32.6,1.28,Fail
S00070,Female,16,Master,Medium,No,Noisy,3.59,90.3,7.18,3.2,64.8,85.8,2,No,50.5,54.6,57.5,55.8,55.6,2.32,Pass
S00071,Female,16,Master,Medium,Yes,Noisy,3.48,85,7.8,1,89.1,81.9,0,No,84.9,69.9,70,73.1,77.1,2.66,Pass
S00072,Female,15,Master,Low,Yes,Moderate,4.03,73.9,9.06,4,93.4,70.9,3,No,75.7,73.4,64.2,59,69.7,2.76,Pass
S00073,Male,16,Bachelor,Medium,Yes,Noisy,3.34,71.4,6.54,6,63.9,43.9,2,No,58.7,59.9,59.2,39,54.3,2.45,Pass
S00074,Female,15,High School,Medium,Yes,Noisy,4.01,90,7.85,2,68.3,56.8,3,Yes,70.9,58.6,56.2,56.8,64.8,2.56,Pass
S00075,Male,18,PhD,Medium,Yes,Noisy,3.61,100,7.76,1.9,77.4,68.8,0,No,34.9,51,44.1,41.3,39.3,1.38,Fail
S00076,Female,16,High School,Medium,Yes,Moderate,3.79,89.1,6.52,1.1,83.3,77.1,1,Yes,87.8,88.4,67.3,91.3,85.9,3.19,Pass
S00077,Female,15,High School,Low,Yes,Noisy,3.53,86.8,7.72,5.3,83.9,77.3,1,No,38.5,57.2,56.8,66.4,54.5,2.05,Pass
S00078,Female,17,Bachelor,Medium,Yes,Noisy,1.79,86.9,6.18,1.4,79.4,73.5,1,No,53.5,41,47.3,35.2,42.8,1.36,Fail
S00079,Male,16,High School,Medium,Yes,Quiet,1.6,86,7.26,1,58.5,70.5,4,No,47.1,40.9,28.9,35.7,40.5,1.22,Fail
S00080,Female,18,PhD,Medium,Yes,Noisy,2.58,87,6.79,1.6,95.2,66.8,0,No,88,67.2,72,63.6,75.1,3.33,Pass
S00081,Male,15,Bachelor,Medium,Yes,Quiet,4.86,78.1,7.44,1.6,65.1,60.6,3,Yes,54.5,52.6,60.8,44.8,54.2,2.42,Pass
S00082,Female,16,Bachelor,Medium,No,Moderate,2.79,75.3,7.52,1.6,100,94.8,2,No,73.1,54.5,75.8,75.3,75.8,2.4,Pass
S00083,Male,16,Bachelor,Low,Yes,Moderate,3.37,86.1,6.47,1.3,97.5,85.5,2,No,46.9,47.8,44.2,57.3,52,1.97,Pass
S00084,Female,16,Bachelor,Medium,Yes,Moderate,0.64,99.9,6.99,1.4,63.3,78.7,3,No,20.7,13.9,18.6,38.3,22.9,0.54,Fail
S00085,Male,18,High School,Low,Yes,Noisy,3.23,92.8,6.87,2.7,85.3,53,5,Yes,45.8,57.9,52.2,53.4,47.4,2.36,Fail
S00086,Male,15,Bachelor,Medium,Yes,Moderate,3.1,72.7,5.91,4.5,100,52.3,2,No,46,41.2,54.4,44,50.6,2.37,Pass
S00087,Female,17,Bachelor,Low,Yes,Quiet,0.5,82.4,6.63,1,88.8,69.5,4,No,25.3,17.1,39.8,38.9,27.4,1.39,Fail
S00088,Male,17,Bachelor,Low,Yes,Quiet,3.35,92.3,6.42,0.5,54.5,62.3,2,No,27.6,38.2,38.7,42,37.8,1.33,Fail
S00089,Female,17,Master,Medium,No,Moderate,1.02,100,5.87,3,79.4,52.9,1,Yes,60.3,57.9,49.7,53.6,53.4,1.88,Pass
S00090,Female,15,High School,Medium,Yes,Moderate,2.13,100,6.2,3.3,92.5,71.6,2,No,45.7,32.1,55.2,42.5,45.7,1.58,Fail
S00091,Female,17,High School,Medium,Yes,Quiet,4.19,82.9,6.74,4.8,100,41.7,3,No,41.7,43.3,59.7,33.7,48.8,2.4,Fail
S00092,Female,18,High School,Medium,Yes,Moderate,3.19,93.2,7.06,4.6,78,68.6,4,No,39.7,40.9,43.8,45.5,42.3,1.53,Fail
S00093,Female,15,High School,Medium,Yes,Quiet,2.46,87.5,5.76,0.1,55,77.6,2,No,31.8,44.7,53.3,50.6,44,1.98,Fail
S00094,Female,16,Master,Medium,Yes,Moderate,2.36,83.8,8.2,0,100,77.2,0,No,54.3,36.2,54.9,66.3,52.7,2.05,Pass
S00095,Female,18,Master,Medium,No,Quiet,2.5,85.6,7.61,3.3,78.2,42.9,3,No,47,44.2,46.4,51.1,47.3,2.38,Fail
S00096,Female,16,High School,Medium,No,Moderate,3.19,85.7,6.91,3.3,100,42.2,1,No,42.3,41.2,46.4,41.3,45,1.88,Fail
S00097,Female,17,Bachelor,Medium,Yes,Quiet,1.56,96.8,5.78,4.7,76.1,66.8,1,No,47,38.6,40.6,50.3,42.9,1.43,Fail
S00098,Female,18,Bachelor,Medium,Yes,Quiet,4.35,71,6.79,3.1,88.2,60.5,6,No,58,54.3,44.9,44.7,49.2,2.24,Fail
S00099,Female,15,High School,High,Yes,Noisy,1.62,89.7,6.73,1.7,69.7,51.7,3,No,31.7,29.7,42.3,43.5,35.4,1.12,Fail
S00100,Male,18,High School,Low,Yes,Moderate,0.93,100,5.92,4.1,70,37.7,2,No,25.6,46.3,31.9,33.5,36,1.57,Fail
S00101,Male,16,PhD,High,Yes,Moderate,4.19,99.3,5.84,0.9,100,56.8,5,Yes,75.5,71.6,67.9,74.1,69.6,2.62,Pass
S00102,Female,15,Bachelor,Low,Yes,Moderate,2.48,90.7,7.77,5.5,94.1,68.5,3,Yes,19.3,30.3,26.6,34.5,31.3,1.16,Fail
S00103,Female,18,PhD,Medium,Yes,Moderate,3.08,77.4,6.68,2.9,79.6,66.5,0,Yes,64.8,68.5,58.1,70,60.8,2.59,Pass
S00104,Female,18,High School,Low,Yes,Moderate,3.79,92.8,7.89,1.4,94,52,0,Yes,48.7,59.4,57.6,58,58.6,2.28,Pass
S00105,Female,18,Bachelor,Medium,Yes,Moderate,2.14,98.2,6.99,1.2,69.8,55,2,No,50.7,33,41.2,42.3,39.3,1.52,Fail
S00106,Female,18,High School,Low,Yes,Moderate,3.16,79.8,7.75,2.8,80,64.9,1,No,65,59.5,59,43.9,55.9,2.64,Pass
S00107,Female,15,High School,High,Yes,Quiet,3.78,88.6,7.72,2.4,81.5,57.6,3,Yes,44.5,44.9,56.2,52.9,52.1,1.99,Pass
S00108,Female,16,Bachelor,High,Yes,Quiet,4.97,82.9,7.47,2.3,68.6,74.8,2,Yes,66.5,57.6,60.8,56,62.9,3,Pass
S00109,Female,18,High School,Medium,Yes,Noisy,2.39,78.9,8.18,0.5,66.7,78.4,2,No,41.3,43.6,51.6,43.8,44.2,1.62,Fail
S00110,Male,15,High School,Medium,Yes,Noisy,2.44,81.8,7.1,2.3,51.7,76.8,1,Yes,48.2,36.5,36.8,36.1,36.3,1.6,Fail
S00111,Female,16,High School,High,Yes,Quiet,3.68,86.3,5.51,3.7,65.5,53.6,0,No,42.4,35.3,33.4,27.2,34,1.42,Fail
S00112,Male,18,High School,High,Yes,Quiet,3.25,75.8,5.66,1.4,100,75,3,Yes,70.2,57.1,66.1,55.5,60.3,2.59,Pass
S00113,Female,16,Bachelor,Medium,Yes,Quiet,2.84,74.2,6.35,2.9,53.3,75.4,2,No,0.7,30.5,6.3,18.6,12.6,0.23,Fail
S00114,Female,16,Bachelor,Medium,Yes,Moderate,4.91,76.1,7.74,4.2,79.5,92.3,3,Yes,57,57.7,59.4,61.6,61,2.6,Pass
S00115,Male,15,High School,Medium,Yes,Quiet,0.98,88.3,6.6,3.4,82.3,99.6,2,Yes,38.1,27.5,49.6,32.1,37.2,1.65,Fail
S00116,Female,16,High School,Medium,Yes,Moderate,1.29,70.3,7.21,0.7,76.3,88.6,2,No,51.7,53.4,36,55.6,47.9,2.19,Fail
S00117,Male,15,High School,Medium,Yes,Noisy,0.99,62.8,7.54,3,93.1,63.1,2,No,48.7,44.6,49.1,43.8,45.3,1.91,Fail
S00118,Female,18,Bachelor,Medium,Yes,Noisy,4.44,98.7,7.16,4.7,75.9,58.4,3,No,56.8,57.8,55,61.4,58,2.84,Pass
S00119,Female,16,High School,Low,Yes,Quiet,3.62,74.9,4.71,3.2,94.3,67,3,No,53.4,51,52.3,37.7,51.9,1.97,Pass
S00120,Male,16,Master,Medium,Yes,Noisy,1.36,83.1,5.81,4.3,88.2,61.4,2,Yes,21.5,37,37.4,47.1,36,1.17,Fail
S00121,Female,17,High School,Medium,Yes,Moderate,2.85,94.2,8.77,4,59.7,100,3,Yes,49.9,58.2,54.1,50.8,52.9,1.78,Pass
S00122,Male,18,High School,High,Yes,Quiet,2.97,70.6,7.33,0.8,97.4,84.3,3,No,52,64.4,67.5,56.6,59.8,2.56,Pass
S00123,Female,18,Master,High,Yes,Moderate,0.5,70.6,4.3,5.2,75.3,79.3,2,Yes,32.4,32.1,33.5,29.4,26.9,0.9,Fail
S00124,Male,17,Bachelor,Medium,Yes,Moderate,3.23,78.7,7.07,4.4,53.1,82,1,No,44.6,51.3,47.4,48.7,49.5,2.31,Fail
S00125,Male,17,High School,Medium,Yes,Noisy,1.59,94.6,8.8,2.1,87.1,90.6,1,No,45.4,28.7,47,55.8,42.8,1.76,Fail
S00126,Female,15,Master,Low,Yes,Quiet,3.85,84.8,7.27,4.4,75.7,79.3,1,No,69.9,49.7,72.9,79.1,68.7,3.38,Pass
S00127,Female,15,Bachelor,Medium,Yes,Quiet,1.62,84.9,7.04,2.3,100,67.1,0,Yes,54.3,39.8,35.6,46.3,43.9,1.74,Fail
S00128,Male,16,Master,Low,Yes,Moderate,3.26,82,5.17,2.4,96.4,81.1,2,No,40.4,64.7,48,51.1,52.8,1.59,Pass
S00129,Female,16,Bachelor,Low,Yes,Noisy,4.55,90.6,6.73,1.2,66.5,81,3,No,49.6,53.7,49.4,62.1,52,1.93,Pass
S00130,Female,16,Bachelor,Medium,Yes,Noisy,4.17,99.3,5.36,0.9,94.2,53.2,2,No,63.6,50.4,65.5,57.9,59.5,1.91,Pass
S00131,Female,16,PhD,Medium,Yes,Quiet,3.61,100,5.78,2.7,69.6,100,1,No,68,46.9,54.2,64.6,63.2,2.56,Pass
S00132,Male,15,High School,Low,Yes,Quiet,2.9,83.5,5.55,2.1,55.1,60.8,1,Yes,49.3,36.8,44.4,57.4,48.2,2.04,Fail
S00133,Male,18,Bachelor,High,No,Noisy,1.2,100,8.74,0.3,70.8,93.1,3,Yes,36.3,40.7,47.3,53.3,45.5,1.24,Fail
S00134,Male,16,Bachelor,Medium,Yes,Moderate,2.47,95,7.73,3,60.1,67.6,2,No,47.5,59.9,35.6,34.7,43.6,2.32,Fail
S00135,Male,18,High School,Low,No,Noisy,2.73,87.7,8.4,3.3,79.8,87.4,1,No,35.7,39.5,41,38.4,40.7,1.36,Fail
S00136,Male,16,High School,Low,Yes,Noisy,2.64,62.9,5.68,2.9,100,70.8,2,No,41,40.3,43.9,23.9,37.2,1.64,Fail
S00137,Male,17,High School,Low,No,Quiet,1.16,81.2,7.19,2.9,81.2,48.4,1,No,35.4,44.5,30.8,29.5,36.6,1.44,Fail
S00138,Male,16,Bachelor,Low,No,Moderate,3.52,81.6,5.99,3.1,86.9,86,3,No,46.3,77.2,53.1,62.9,63,2.86,Pass
S00139,Male,16,Bachelor,Medium,No,Quiet,1.58,88.6,6.1,2.7,65,92.1,1,Yes,37.4,40.1,47.3,33.6,42.2,1.73,Fail
S00140,Male,16,Bachelor,Medium,Yes,Noisy,4.86,83,7.47,3,71.9,69.9,0,No,67.3,59,74.6,74,70.6,2.67,Pass
S00141,Female,15,High School,High,Yes,Moderate,3.18,79.4,7.18,3.3,88.2,82.9,4,No,64.8,66,50.9,57.9,60.3,2.15,Pass
S00142,Male,17,Bachelor,Low,No,Noisy,4.18,100,7.29,1.6,79,59.6,3,No,45.9,65.5,51,46.5,52.6,1.6,Pass
S00143,Female,16,Master,Medium,Yes,Noisy,4.15,98.1,5.74,0.6,69.2,70.9,3,No,90.5,85.4,74.9,85.8,84.4,3.58,Pass
S00144,Female,16,High School,Medium,Yes,Quiet,5.49,64.8,7.13,3,95,86.6,1,No,68.7,86.3,77.4,72.5,78.1,2.86,Pass
S00145,Female,18,Bachelor,Medium,Yes,Quiet,3.22,82.2,7.35,2.7,82.1,75.7,0,Yes,45.5,50,44.4,47.9,45.3,2.21,Fail
S00146,Male,17,Master,Medium,Yes,Moderate,2.53,91.3,6.32,3.2,100,77.7,3,No,41.6,43,37.9,42.9,42.6,1.86,Fail
S00147,Male,16,Master,High,Yes,Noisy,2.56,98.3,6.73,4.2,89.9,85.4,1,No,42.9,32,40.2,48,45,1.68,Fail
S00148,Male,18,Bachelor,Low,Yes,Noisy,4.8,80.8,5.35,2.4,63,95.3,3,No,56.6,65.4,64.3,75.9,63.9,2.97,Pass
S00149,Male,18,Master,Medium,Yes,Noisy,1.42,82.8,4.84,2.3,81.7,87,0,No,32.7,48.8,39.4,38.8,37.6,1.49,Fail
S00150,Female,15,High School,High,Yes,Moderate,1.95,85.9,9.01,3.2,61.9,75,1,Yes,45,46.2,39.2,56.5,48.8,1.59,Fail
S00151,Male,18,Master,Low,Yes,Quiet,3.28,91.6,7.2,1,100,69.8,1,No,71.5,68.4,65.8,63.6,68.8,2.4,Pass
S00152,Male,16,High School,Low,Yes,Quiet,2.82,69.6,6.64,2.6,65.2,72.9,3,No,63.9,41.8,33.8,48.3,48.1,1.75,Fail
S00153,Male,15,High School,Low,Yes,Quiet,4.16,64.8,7.8,2.3,96.7,50.7,1,No,48.7,60.2,62.1,55.4,58.4,2.42,Pass
S00154,Male,15,High School,Medium,Yes,Moderate,1.39,97.5,6.13,3.8,94.3,74,2,Yes,39.3,46.4,51.1,49.9,45.6,1.85,Fail
S00155,Male,16,Master,Low,Yes,Noisy,2.92,75.1,7.11,1.8,69.8,52.8,4,No,41,46.9,37.9,54.3,47.4,1.58,Fail
S00156,Female,17,Bachelor,Low,Yes,Quiet,2.78,100,8.11,2.6,84.9,64.4,1,No,57,44.6,43.6,56,52.5,1.9,Pass
S00157,Male,18,High School,Medium,Yes,Noisy,1.71,76.4,5.9,2.3,83.8,81.3,0,Yes,39.1,34.6,42.5,24.4,33.4,0.84,Fail
S00158,Female,15,High School,Medium,Yes,Quiet,4.05,83.2,6.51,0,92.5,64.1,1,Yes,56.4,55.4,55.5,62.2,56.6,2.21,Pass
S00159,Male,17,Master,Low,Yes,Quiet,2.89,88.7,5.62,1.7,82.7,91.1,2,No,61.2,71,70.2,56.6,64.6,2.21,Pass
S00160,Female,16,Master,Medium,Yes,Moderate,2.84,63.7,7.84,2.5,70,69.4,2,No,23.3,34.1,45.1,33.6,33.4,1,Fail
S00161,Male,18,Bachelor,Medium,Yes,Moderate,2.01,100,7.21,1.2,88.4,88.1,3,No,74.2,68.6,74,74.9,72.9,2.9,Pass
S00162,Male,18,Bachelor,High,Yes,Noisy,2.56,81.1,8.17,2.3,88.5,65.9,1,Yes,60.8,55.6,54.8,52.3,57.9,2.26,Pass
S00163,Female,15,Bachelor,Medium,No,Moderate,1.77,76.6,7.84,4.5,66,68.4,2,No,18.2,32.8,20.9,31.4,22.4,0.84,Fail
S00164,Female,18,High School,Medium,Yes,Quiet,4.04,73.3,6.74,3.9,45.4,87.3,0,No,57.4,59.4,44,42.5,51.1,2.13,Pass
S00165,Female,18,Master,Medium,Yes,Noisy,4.24,88.6,7.41,0,88.9,67.3,1,No,68.1,39.3,39,51.3,48.8,1.83,Fail
S00166,Male,18,High School,Low,No,Noisy,5.02,87.9,7.42,3.6,85.6,75.6,2,Yes,71.9,52.7,66.3,61.2,63.3,2.63,Pass
S00167,Female,18,Bachelor,Medium,Yes,Moderate,3.52,73.7,7.73,3.3,86.5,63.6,4,No,53.6,42,45.7,71.4,52.4,2.11,Pass
S00168,Male,16,High School,High,Yes,Quiet,2.59,71.3,8.47,2.4,99.8,35.6,1,No,36.2,43.5,44.1,45.1,42.1,1.85,Fail
S00169,Male,17,Bachelor,Medium,Yes,Quiet,2.44,95.6,5.91,0,93.1,61,2,No,47.7,56.3,53.1,51.2,48.2,1.56,Fail
S00170,Female,16,Bachelor,High,Yes,Quiet,3.59,78.4,5.12,3.7,99.4,91.9,1,No,53.1,60.2,63.4,46.2,52.1,2.28,Pass
S00171,Female,16,Bachelor,High,Yes,Quiet,3.24,67.8,5.95,1.9,91.7,75,1,No,48.2,58.1,47.6,49.3,51.9,2.49,Pass
S00172,Male,15,High School,Low,No,Noisy,2.79,83.5,7.47,2.8,82.2,83.4,1,Yes,47,53.5,42.4,49.7,47.3,1.55,Fail
S00173,Male,18,Bachelor,Low,Yes,Quiet,2.69,81,7.41,1,61.6,83.9,3,No,48,50.1,58.4,57.1,56.6,2.3,Pass
